question_text,sub_category,difficulty,answer_text,is_correct
Who was the first President of the United States?,history,EASY,George Washington,True
Who was the first President of the United States?,history,EASY,Thomas Jefferson,False
What is the capital of France?,history,EASY,Paris,True
What is the capital of France?,history,EASY,London,False
Which country won the FIFA World Cup in 2018?,football,MEDIUM,France,True
Which country won the FIFA World Cup in 2018?,football,MEDIUM,Germany,False
Who is known as the father of modern physics?,science,MEDIUM,Albert Einstein,True
Who is known as the father of modern physics?,science,MEDIUM,Isaac Newton,False
What is the largest planet in our solar system?,science,EASY,Jupiter,True
What is the largest planet in our solar system?,science,EASY,Saturn,False
Who wrote the play "Romeo and Juliet"?,history,EASY,William Shakespeare,True
Who wrote the play "Romeo and Juliet"?,history,EASY,Charles Dickens,False
What is the chemical formula for table salt?,science,EASY,NaCl,True
What is the chemical formula for table salt?,science,EASY,H2O,False
Which team has won the most UEFA Champions League titles?,football,HARD,Real Madrid,True
Which team has won the most UEFA Champions League titles?,football,HARD,Barcelona,False
What is the smallest prime number?,science,EASY,2,True
What is the smallest prime number?,science,EASY,1,False